Category In English,User_Id,Mer_Name,Cluster
Grocery,2730,Saraswati Fabrics,1
Grocery,2733,Saraswati Fabrics,1
Grocery,2733,Saraswati Fabrics,1
Grocery,2739,Saraswati Fabrics,1
Grocery,2742,Saraswati Fabrics,1
Grocery,2754,Saraswati Fabrics,1
Grocery,2772,Saraswati Fabrics,1
Grocery,2781,Saraswati Fabrics,1
Grocery,2787,Saraswati Fabrics,1
Grocery,2788,Saraswati Fabrics,1
Grocery,2789,Saraswati Fabrics,1
Grocery,2797,Saraswati Fabrics,1
Grocery,2798,Saraswati Fabrics,1
Grocery,2800,Saraswati Fabrics,1
Grocery,2809,Saraswati Fabrics,1
Grocery,2813,Saraswati Fabrics,1
Grocery,2815,Saraswati Fabrics,1
Grocery,2821,Saraswati Fabrics,1
Grocery,2826,Saraswati Fabrics,1
Grocery,2829,Saraswati Fabrics,1
Grocery,2829,Saraswati Fabrics,1
Grocery,2836,Saraswati Fabrics,1
Grocery,2844,Saraswati Fabrics,1
Grocery,2848,Saraswati Fabrics,1
Grocery,2849,Saraswati Fabrics,1
Grocery,2866,Saraswati Fabrics,1
Grocery,2871,Saraswati Fabrics,1
Grocery,2873,Saraswati Fabrics,1
Grocery,2876,Saraswati Fabrics,1
Grocery,2880,Saraswati Fabrics,1
Grocery,2888,Saraswati Fabrics,1
Grocery,2895,Saraswati Fabrics,1
Grocery,2917,Saraswati Fabrics,1
Grocery,2929,Saraswati Fabrics,1
Grocery,2929,Saraswati Fabrics,1
Grocery,2931,Saraswati Fabrics,1
Grocery,2938,Saraswati Fabrics,1
Grocery,2939,Saraswati Fabrics,1
Grocery,2943,Saraswati Fabrics,1
Grocery,2944,Saraswati Fabrics,1
Grocery,2946,Saraswati Fabrics,1
Grocery,2953,Saraswati Fabrics,1
Grocery,2967,Saraswati Fabrics,1
Grocery,2970,Saraswati Fabrics,1
Grocery,2974,Saraswati Fabrics,1
Grocery,2990,Saraswati Fabrics,1
Grocery,2996,Saraswati Fabrics,1
Grocery,2998,Saraswati Fabrics,1
Grocery,3005,Saraswati Fabrics,1
Grocery,3007,Saraswati Fabrics,1
Grocery,3010,Saraswati Fabrics,1
Grocery,3019,Saraswati Fabrics,1
Grocery,3020,Saraswati Fabrics,1
Grocery,3044,Saraswati Fabrics,1
Grocery,3044,Saraswati Fabrics,1
Grocery,3044,Saraswati Fabrics,1
Grocery,3051,Saraswati Fabrics,1
Grocery,3054,Saraswati Fabrics,1
Grocery,3055,Saraswati Fabrics,1
Grocery,3060,Saraswati Fabrics,1
Grocery,3064,Saraswati Fabrics,1
Grocery,3068,Saraswati Fabrics,1
Grocery,3073,Saraswati Fabrics,1
Grocery,3081,Saraswati Fabrics,1
Grocery,3091,Saraswati Fabrics,1
Grocery,3111,Saraswati Fabrics,1
Grocery,3113,Saraswati Fabrics,1
Grocery,3121,Saraswati Fabrics,1
Grocery,3124,Saraswati Fabrics,1
Grocery,3128,Saraswati Fabrics,1
Grocery,3137,Saraswati Fabrics,1
Grocery,3138,Saraswati Fabrics,1
Grocery,3145,Saraswati Fabrics,1
Grocery,3148,Saraswati Fabrics,1
Grocery,3151,Saraswati Fabrics,1
Grocery,3152,Saraswati Fabrics,1
Grocery,3152,Saraswati Fabrics,1
Grocery,3153,Saraswati Fabrics,1
Grocery,3155,Saraswati Fabrics,1
Grocery,3162,Saraswati Fabrics,1
Grocery,3166,Saraswati Fabrics,1
Grocery,3170,Saraswati Fabrics,1
Grocery,3172,Saraswati Fabrics,1
Grocery,3174,Saraswati Fabrics,1
Grocery,3187,Saraswati Fabrics,1
Grocery,3189,Saraswati Fabrics,1
Grocery,3192,Saraswati Fabrics,1
Grocery,3193,Saraswati Fabrics,1
